#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
../assemble_fasta/644_kp/scafold_medusa/kp_644.hib.medusa.fasta,Scaffold_1,1404015,1404875,+,blaSHV-158,1-861/861,===============,0/0,100.00,99.88,ncbi,NG_050033.1,class A beta-lactamase SHV-158,BETA-LACTAM
../assemble_fasta/644_kp/scafold_medusa/kp_644.hib.medusa.fasta,Scaffold_1,3258893,3259312,-,fosA6,1-420/420,===============,0/0,100.00,98.81,ncbi,NG_051497.1,fosfomycin resistance glutathione transferase FosA6,FOSFOMYCIN
../assemble_fasta/644_kp/scafold_medusa/kp_644.hib.medusa.fasta,Scaffold_1,5166639,5169791,-,oqxB,1-3153/3153,===============,0/0,100.00,100.00,ncbi,NG_048025.1,multidrug efflux RND transporter permease subunit OqxB,PHENICOL;QUINOLONE
../assemble_fasta/644_kp/scafold_medusa/kp_644.hib.medusa.fasta,Scaffold_1,5169815,5170990,-,oqxA,1-1176/1176,===============,0/0,100.00,100.00,ncbi,NG_048024.1,multidrug efflux RND transporter periplasmic adaptor subunit OqxA,PHENICOL;QUINOLONE
../assemble_fasta/644_kp/scafold_medusa/kp_644.hib.medusa.fasta,Scaffold_1,5762309,5763184,+,blaCTX-M-15,1-876/876,===============,0/0,100.00,100.00,ncbi,NG_048935.1,class A extended-spectrum beta-lactamase CTX-M-15,CEPHALOSPORIN
../assemble_fasta/644_kp/scafold_medusa/kp_644.hib.medusa.fasta,Scaffold_1,5768338,5769198,-,aac(3)-IIe,1-861/861,===============,0/0,100.00,99.77,ncbi,NG_047244.1,aminoglycoside N-acetyltransferase AAC(3)-IIe,GENTAMICIN
../assemble_fasta/644_kp/scafold_medusa/kp_644.hib.medusa.fasta,Scaffold_1,5770641,5771471,-,blaOXA-1,1-831/831,===============,0/0,100.00,100.00,ncbi,NG_049392.1,oxacillin-hydrolyzing class D beta-lactamase OXA-1,CEPHALOSPORIN
../assemble_fasta/644_kp/scafold_medusa/kp_644.hib.medusa.fasta,Scaffold_1,5771602,5772156,-,aac(6')-Ib-D181Y,1-555/555,===============,0/0,100.00,99.82,ncbi,NG_067946.1,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,AMIKACIN;KANAMYCIN;TOBRAMYCIN
../assemble_fasta/644_kp/scafold_medusa/kp_644.hib.medusa.fasta,Scaffold_1,5777632,5778471,-,sul1,1-840/840,===============,0/0,100.00,100.00,ncbi,NG_048082.1,sulfonamide-resistant dihydropteroate synthase Sul1,SULFONAMIDE
../assemble_fasta/644_kp/scafold_medusa/kp_644.hib.medusa.fasta,Scaffold_1,5778976,5779767,-,aadA2,1-792/792,===============,0/0,100.00,100.00,ncbi,NG_047343.1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,STREPTOMYCIN
../assemble_fasta/644_kp/scafold_medusa/kp_644.hib.medusa.fasta,Scaffold_1,5780175,5780672,-,dfrA12,1-498/498,===============,0/0,100.00,100.00,ncbi,NG_047689.1,trimethoprim-resistant dihydrofolate reductase DfrA12,TRIMETHOPRIM
../assemble_fasta/644_kp/scafold_medusa/kp_644.hib.medusa.fasta,Scaffold_2,30907,31828,+,mph(A),1-921/921,========/======,1/1,100.00,99.67,ncbi,NG_047986.1,Mph(A) family macrolide 2'-phosphotransferase,MACROLIDE
../assemble_fasta/644_kp/scafold_medusa/kp_644.hib.medusa.fasta,Scaffold_2,38938,39795,+,blaLAP-2,1-858/858,===============,0/0,100.00,100.00,ncbi,NG_049264.1,class A beta-lactamase LAP-2,BETA-LACTAM
../assemble_fasta/644_kp/scafold_medusa/kp_644.hib.medusa.fasta,Scaffold_2,41392,42048,+,qnrS1,1-657/657,===============,0/0,100.00,100.00,ncbi,NG_050543.1,quinolone resistance pentapeptide repeat protein QnrS1,QUINOLONE
#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
../assemble_fasta/644_kp/scafold_medusa/kp_644.long.medusa.fasta,Scaffold_1,217880,218719,-,sul1,1-840/840,===============,0/0,100.00,100.00,ncbi,NG_048082.1,sulfonamide-resistant dihydropteroate synthase Sul1,SULFONAMIDE
../assemble_fasta/644_kp/scafold_medusa/kp_644.long.medusa.fasta,Scaffold_1,219224,220015,-,aadA2,1-792/792,===============,0/0,100.00,100.00,ncbi,NG_047343.1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,STREPTOMYCIN
../assemble_fasta/644_kp/scafold_medusa/kp_644.long.medusa.fasta,Scaffold_1,220423,220920,-,dfrA12,1-498/498,===============,0/0,100.00,100.00,ncbi,NG_047689.1,trimethoprim-resistant dihydrofolate reductase DfrA12,TRIMETHOPRIM
../assemble_fasta/644_kp/scafold_medusa/kp_644.long.medusa.fasta,Scaffold_1,336576,337451,+,blaCTX-M-15,1-876/876,===============,0/0,100.00,100.00,ncbi,NG_048935.1,class A extended-spectrum beta-lactamase CTX-M-15,CEPHALOSPORIN
../assemble_fasta/644_kp/scafold_medusa/kp_644.long.medusa.fasta,Scaffold_1,342605,343465,-,aac(3)-IIe,1-861/861,===============,0/0,100.00,99.77,ncbi,NG_047244.1,aminoglycoside N-acetyltransferase AAC(3)-IIe,GENTAMICIN
../assemble_fasta/644_kp/scafold_medusa/kp_644.long.medusa.fasta,Scaffold_1,344908,345738,-,blaOXA-1,1-831/831,===============,0/0,100.00,100.00,ncbi,NG_049392.1,oxacillin-hydrolyzing class D beta-lactamase OXA-1,CEPHALOSPORIN
../assemble_fasta/644_kp/scafold_medusa/kp_644.long.medusa.fasta,Scaffold_1,345869,346423,-,aac(6')-Ib-D181Y,1-555/555,===============,0/0,100.00,99.82,ncbi,NG_067946.1,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,AMIKACIN;KANAMYCIN;TOBRAMYCIN
../assemble_fasta/644_kp/scafold_medusa/kp_644.long.medusa.fasta,Scaffold_1,876866,877285,+,fosA6,1-420/420,===============,0/0,100.00,98.81,ncbi,NG_051497.1,fosfomycin resistance glutathione transferase FosA6,FOSFOMYCIN
../assemble_fasta/644_kp/scafold_medusa/kp_644.long.medusa.fasta,Scaffold_1,2731677,2732537,-,blaSHV-158,1-861/861,===============,0/0,100.00,99.88,ncbi,NG_050033.1,class A beta-lactamase SHV-158,BETA-LACTAM
../assemble_fasta/644_kp/scafold_medusa/kp_644.long.medusa.fasta,Scaffold_1,4277812,4278987,+,oqxA,1-1176/1176,===============,0/0,100.00,100.00,ncbi,NG_048024.1,multidrug efflux RND transporter periplasmic adaptor subunit OqxA,PHENICOL;QUINOLONE
../assemble_fasta/644_kp/scafold_medusa/kp_644.long.medusa.fasta,Scaffold_1,4279011,4282163,+,oqxB,1-3153/3153,===============,0/0,100.00,100.00,ncbi,NG_048025.1,multidrug efflux RND transporter permease subunit OqxB,PHENICOL;QUINOLONE
../assemble_fasta/644_kp/scafold_medusa/kp_644.long.medusa.fasta,Scaffold_1,5690655,5691470,+,sul2,1-816/816,===============,0/0,100.00,100.00,ncbi,NG_051852.1,sulfonamide-resistant dihydropteroate synthase Sul2,SULFONAMIDE
../assemble_fasta/644_kp/scafold_medusa/kp_644.long.medusa.fasta,Scaffold_1,5752599,5753411,+,blaNDM-1,1-813/813,===============,0/0,100.00,100.00,ncbi,NG_049326.1,subclass B1 metallo-beta-lactamase NDM-1,CARBAPENEM
../assemble_fasta/644_kp/scafold_medusa/kp_644.long.medusa.fasta,Scaffold_1,5753415,5753780,+,ble-MBL,1-366/366,===============,0/0,100.00,100.00,ncbi,NG_047559.1,bleomycin binding protein Ble-MBL,BLEOMYCIN
../assemble_fasta/644_kp/scafold_medusa/kp_644.long.medusa.fasta,Scaffold_1,5756925,5757764,-,sul1,1-840/840,===============,0/0,100.00,100.00,ncbi,NG_048082.1,sulfonamide-resistant dihydropteroate synthase Sul1,SULFONAMIDE
../assemble_fasta/644_kp/scafold_medusa/kp_644.long.medusa.fasta,Scaffold_1,5758269,5759060,-,aadA2,1-792/792,===============,0/0,100.00,100.00,ncbi,NG_047343.1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,STREPTOMYCIN
../assemble_fasta/644_kp/scafold_medusa/kp_644.long.medusa.fasta,Scaffold_1,5759468,5759965,-,dfrA12,1-498/498,===============,0/0,100.00,100.00,ncbi,NG_047689.1,trimethoprim-resistant dihydrofolate reductase DfrA12,TRIMETHOPRIM
../assemble_fasta/644_kp/scafold_medusa/kp_644.long.medusa.fasta,Scaffold_2,1126,2047,-,mph(A),1-921/921,========/======,1/1,100.00,99.67,ncbi,NG_047986.1,Mph(A) family macrolide 2'-phosphotransferase,MACROLIDE
../assemble_fasta/644_kp/scafold_medusa/kp_644.long.medusa.fasta,Scaffold_2,62661,63317,-,qnrS1,1-657/657,===============,0/0,100.00,100.00,ncbi,NG_050543.1,quinolone resistance pentapeptide repeat protein QnrS1,QUINOLONE
../assemble_fasta/644_kp/scafold_medusa/kp_644.long.medusa.fasta,Scaffold_2,64914,65771,-,blaLAP-2,1-858/858,===============,0/0,100.00,100.00,ncbi,NG_049264.1,class A beta-lactamase LAP-2,BETA-LACTAM
#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
../assemble_fasta/644_kp/scafold_medusa/kp_644.short.medusa.fasta,Scaffold_1,14146,14565,+,fosA6,1-420/420,===============,0/0,100.00,98.81,ncbi,NG_051497.1,fosfomycin resistance glutathione transferase FosA6,FOSFOMYCIN
../assemble_fasta/644_kp/scafold_medusa/kp_644.short.medusa.fasta,Scaffold_1,1935488,1936348,-,blaSHV-158,1-861/861,===============,0/0,100.00,99.88,ncbi,NG_050033.1,class A beta-lactamase SHV-158,BETA-LACTAM
../assemble_fasta/644_kp/scafold_medusa/kp_644.short.medusa.fasta,Scaffold_1,3480354,3481529,+,oqxA,1-1176/1176,===============,0/0,100.00,100.00,ncbi,NG_048024.1,multidrug efflux RND transporter periplasmic adaptor subunit OqxA,PHENICOL;QUINOLONE
../assemble_fasta/644_kp/scafold_medusa/kp_644.short.medusa.fasta,Scaffold_1,3481553,3484705,+,oqxB,1-3153/3153,===============,0/0,100.00,100.00,ncbi,NG_048025.1,multidrug efflux RND transporter permease subunit OqxB,PHENICOL;QUINOLONE
../assemble_fasta/644_kp/scafold_medusa/kp_644.short.medusa.fasta,Scaffold_1,4453431,4454243,+,blaNDM-1,1-813/813,===============,0/0,100.00,100.00,ncbi,NG_049326.1,subclass B1 metallo-beta-lactamase NDM-1,CARBAPENEM
../assemble_fasta/644_kp/scafold_medusa/kp_644.short.medusa.fasta,Scaffold_1,4454247,4454612,+,ble-MBL,1-366/366,===============,0/0,100.00,100.00,ncbi,NG_047559.1,bleomycin binding protein Ble-MBL,BLEOMYCIN
../assemble_fasta/644_kp/scafold_medusa/kp_644.short.medusa.fasta,Scaffold_1,4457757,4458596,-,sul1,1-840/840,===============,0/0,100.00,100.00,ncbi,NG_048082.1,sulfonamide-resistant dihydropteroate synthase Sul1,SULFONAMIDE
../assemble_fasta/644_kp/scafold_medusa/kp_644.short.medusa.fasta,Scaffold_1,4459101,4459892,-,aadA2,1-792/792,===============,0/0,100.00,100.00,ncbi,NG_047343.1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,STREPTOMYCIN
../assemble_fasta/644_kp/scafold_medusa/kp_644.short.medusa.fasta,Scaffold_1,4460300,4460797,-,dfrA12,1-498/498,===============,0/0,100.00,100.00,ncbi,NG_047689.1,trimethoprim-resistant dihydrofolate reductase DfrA12,TRIMETHOPRIM
../assemble_fasta/644_kp/scafold_medusa/kp_644.short.medusa.fasta,Scaffold_1,4544594,4545409,+,sul2,1-816/816,===============,0/0,100.00,100.00,ncbi,NG_051852.1,sulfonamide-resistant dihydropteroate synthase Sul2,SULFONAMIDE
../assemble_fasta/644_kp/scafold_medusa/kp_644.short.medusa.fasta,Scaffold_19,2690,3547,+,blaLAP-2,1-858/858,===============,0/0,100.00,100.00,ncbi,NG_049264.1,class A beta-lactamase LAP-2,BETA-LACTAM
../assemble_fasta/644_kp/scafold_medusa/kp_644.short.medusa.fasta,Scaffold_19,5144,5800,+,qnrS1,1-657/657,===============,0/0,100.00,100.00,ncbi,NG_050543.1,quinolone resistance pentapeptide repeat protein QnrS1,QUINOLONE
../assemble_fasta/644_kp/scafold_medusa/kp_644.short.medusa.fasta,Scaffold_2,1696,2556,-,aac(3)-IIe,1-861/861,===============,0/0,100.00,99.77,ncbi,NG_047244.1,aminoglycoside N-acetyltransferase AAC(3)-IIe,GENTAMICIN
../assemble_fasta/644_kp/scafold_medusa/kp_644.short.medusa.fasta,Scaffold_4,578,1408,-,blaOXA-1,1-831/831,===============,0/0,100.00,100.00,ncbi,NG_049392.1,oxacillin-hydrolyzing class D beta-lactamase OXA-1,CEPHALOSPORIN
../assemble_fasta/644_kp/scafold_medusa/kp_644.short.medusa.fasta,Scaffold_4,1539,2093,-,aac(6')-Ib-D181Y,1-555/555,===============,0/0,100.00,99.82,ncbi,NG_067946.1,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,AMIKACIN;KANAMYCIN;TOBRAMYCIN
../assemble_fasta/644_kp/scafold_medusa/kp_644.short.medusa.fasta,Scaffold_7,2325,3200,+,blaCTX-M-15,1-876/876,===============,0/0,100.00,100.00,ncbi,NG_048935.1,class A extended-spectrum beta-lactamase CTX-M-15,CEPHALOSPORIN
../assemble_fasta/644_kp/scafold_medusa/kp_644.short.medusa.fasta,Scaffold_8,3597,4518,-,mph(A),1-921/921,========/======,1/1,100.00,99.67,ncbi,NG_047986.1,Mph(A) family macrolide 2'-phosphotransferase,MACROLIDE
#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
../assemble_fasta/645_kp/scafold_medusa/kp_645.hib.medusa.fasta,Scaffold_1,36443,37258,-,sul2,1-816/816,===============,0/0,100.00,100.00,ncbi,NG_051852.1,sulfonamide-resistant dihydropteroate synthase Sul2,SULFONAMIDE
../assemble_fasta/645_kp/scafold_medusa/kp_645.hib.medusa.fasta,Scaffold_1,121055,121552,+,dfrA12,1-498/498,===============,0/0,100.00,100.00,ncbi,NG_047689.1,trimethoprim-resistant dihydrofolate reductase DfrA12,TRIMETHOPRIM
../assemble_fasta/645_kp/scafold_medusa/kp_645.hib.medusa.fasta,Scaffold_1,121960,122751,+,aadA2,1-792/792,===============,0/0,100.00,100.00,ncbi,NG_047343.1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,STREPTOMYCIN
../assemble_fasta/645_kp/scafold_medusa/kp_645.hib.medusa.fasta,Scaffold_1,123256,124095,+,sul1,1-840/840,===============,0/0,100.00,100.00,ncbi,NG_048082.1,sulfonamide-resistant dihydropteroate synthase Sul1,SULFONAMIDE
../assemble_fasta/645_kp/scafold_medusa/kp_645.hib.medusa.fasta,Scaffold_1,127240,127605,-,ble-MBL,1-366/366,===============,0/0,100.00,100.00,ncbi,NG_047559.1,bleomycin binding protein Ble-MBL,BLEOMYCIN
../assemble_fasta/645_kp/scafold_medusa/kp_645.hib.medusa.fasta,Scaffold_1,127609,128421,-,blaNDM-1,1-813/813,===============,0/0,100.00,100.00,ncbi,NG_049326.1,subclass B1 metallo-beta-lactamase NDM-1,CARBAPENEM
../assemble_fasta/645_kp/scafold_medusa/kp_645.hib.medusa.fasta,Scaffold_1,838883,839302,-,fosA6,1-420/420,===============,0/0,100.00,98.81,ncbi,NG_051497.1,fosfomycin resistance glutathione transferase FosA6,FOSFOMYCIN
../assemble_fasta/645_kp/scafold_medusa/kp_645.hib.medusa.fasta,Scaffold_1,2747606,2750758,-,oqxB,1-3153/3153,===============,0/0,100.00,100.00,ncbi,NG_048025.1,multidrug efflux RND transporter permease subunit OqxB,PHENICOL;QUINOLONE
../assemble_fasta/645_kp/scafold_medusa/kp_645.hib.medusa.fasta,Scaffold_1,2750782,2751957,-,oqxA,1-1176/1176,===============,0/0,100.00,100.00,ncbi,NG_048024.1,multidrug efflux RND transporter periplasmic adaptor subunit OqxA,PHENICOL;QUINOLONE
../assemble_fasta/645_kp/scafold_medusa/kp_645.hib.medusa.fasta,Scaffold_1,4297232,4298092,+,blaSHV-158,1-861/861,===============,0/0,100.00,99.88,ncbi,NG_050033.1,class A beta-lactamase SHV-158,BETA-LACTAM
